number,contract_name,name,address,position_lat,position_lng,banking,bonus
42,dublin,"SMITHFIELD NORTH","Smithfield North",53.349562,-6.278198,0,0
30,dublin,"PARNELL SQUARE NORTH","Parnell Square North",53.3537415547453,-6.26530144781526,0,0
54,dublin,"CLONMEL STREET","Clonmel Street",53.336021,-6.26298,0,0
108,dublin,"AVONDALE ROAD","Avondale Road",53.359405,-6.276142,0,0
20,dublin,"JAMES STREET EAST","James Street East",53.336597,-6.248109,0,0
56,dublin,"MOUNT STREET LOWER","Mount Street Lower",53.33796,-6.24153,0,0
6,dublin,"CHRISTCHURCH PLACE","Christchurch Place",53.343368,-6.27012,0,0
18,dublin,"GRANTHAM STREET","Grantham Street",53.334123,-6.265436,0,0
32,dublin,"PEARSE STREET","Pearse Street",53.344304,-6.250427,0,0
52,dublin,"YORK STREET EAST","York Street East",53.338755,-6.262003,0,0
48,dublin,"EXCISE WALK","Excise Walk",53.347777,-6.244239,0,0
13,dublin,"FITZWILLIAM SQUARE WEST","Fitzwilliam Square West",53.336074,-6.252825,0,0
43,dublin,"PORTOBELLO ROAD","Portobello Road",53.330091,-6.268044,0,0
31,dublin,"PARNELL STREET","Parnell Street",53.350929,-6.265125,0,0
98,dublin,"FREDERICK STREET SOUTH","Frederick Street South",53.341515,-6.256853,0,0
14,dublin,"FOWNES STREET UPPER","Fownes Street Upper",53.344603,-6.263371,0,0
1,dublin,"CLARENDON ROW","Clarendon Row",53.340927,-6.262501,0,0
23,dublin,"CUSTOM HOUSE","Custom House",53.348279,-6.254662,0,0
106,dublin,"RATHDOWN ROAD","Rathdown Road",53.35893,-6.280337,0,0
112,dublin,"NORTH CIRCULAR ROAD (O'CONNELL'S)","North Circular Road (O'Connell's)",53.357841,-6.251557,0,0
68,dublin,"HANOVER QUAY","Hanover Quay",53.344115,-6.237153,0,0
74,dublin,"OLIVER BOND STREET","Oliver Bond Street",53.343893,-6.280531,0,0
87,dublin,"COLLINS BARRACKS MUSEUM","Collins Barracks Museum",53.347477,-6.28525,0,0
84,dublin,"BROOKFIELD ROAD","Brookfield Road",53.339005,-6.300217,0,0
90,dublin,"BENSON STREET","Benson Street",53.344153,-6.233451,0,0
11,dublin,"EARLSFORT TERRACE","Earlsfort Terrace",53.334295,-6.258503,0,0
17,dublin,"GOLDEN LANE","Golden Lane",53.340803,-6.267732,0,0
45,dublin,"DEVERELL PLACE","Deverell Place",53.351464,-6.255265,0,0
114,dublin,"WILTON TERRACE (PARK)","Wilton Terrace (Park)",53.333653,-6.248345,0,0
72,dublin,"JOHN STREET WEST","John Street West",53.343105,-6.277167,0,0
63,dublin,"FENIAN STREET","Fenian Street",53.341428,-6.24672,0,0
113,dublin,"MERRION SQUARE SOUTH","Merrion Square South",53.338614,-6.248606,0,0
91,dublin,"SOUTH DOCK ROAD","South Dock Road",53.341833,-6.231291,0,0
99,dublin,"CITY QUAY","City Quay",53.346637,-6.246154,0,0
9,dublin,"EXCHEQUER STREET","Exchequer Street",53.343034,-6.263578,0,0
67,dublin,"THE POINT","The Point",53.346867,-6.230852,0,0
116,dublin,BROADSTONE,Broadstone,53.3547,-6.272314,0,0
55,dublin,"HATCH STREET","Hatch Street",53.33403,-6.260714,0,0
62,dublin,"LIME STREET","Lime Street",53.346026,-6.243576,0,0
5,dublin,"CHARLEMONT PLACE","Charlemont Street",53.330662,-6.260177,0,0
97,dublin,"KILMAINHAM GAOL","Kilmainham Gaol",53.342113,-6.310015,0,0
61,dublin,"HARDWICKE PLACE","Hardwicke Place",53.357043,-6.263232,0,0
77,dublin,"WOLFE TONE STREET","Wolfe Tone Street",53.348875,-6.267459,0,0
73,dublin,"FRANCIS STREET","Francis Street",53.342081,-6.275233,0,0
4,dublin,"GREEK STREET","Greek Street",53.346874,-6.272976,0,0
49,dublin,"GUILD STREET","Guild Street",53.347932,-6.240928,0,0
19,dublin,"HERBERT PLACE","Herbert Place",53.334432,-6.245575,0,0
7,dublin,"HIGH STREET","High Street",53.343565,-6.275071,0,0
60,dublin,"NORTH CIRCULAR ROAD","North Circular Road",53.359624,-6.260348,0,0
102,dublin,"WESTERN WAY","Western Way",53.354929,-6.269425,0,0
38,dublin,"TALBOT STREET","Talbot Street",53.350974,-6.25294,0,0
53,dublin,"NEWMAN HOUSE","Newman House",53.337132,-6.26059,0,0
58,dublin,"SIR PATRICK DUN'S","Sir Patrick's Dun",53.339218,-6.240642,0,0
66,dublin,"NEW CENTRAL BANK","New Central Bank",53.347122,-6.234749,0,0
104,dublin,"GRANGEGORMAN LOWER (CENTRAL)","Grangegorman Lower (Central)",53.355173,-6.278424,0,0
101,dublin,"KING STREET NORTH","King Street North",53.350291,-6.273507,0,0
115,dublin,"KILLARNEY STREET","Killarney Street",53.354845,-6.247579,0,0
47,dublin,"HERBERT STREET","Herbert Street",53.335742,-6.24551,0,0
117,dublin,"HANOVER QUAY EAST","Hanover Quay East",53.343653,-6.231755,0,0
8,dublin,"CUSTOM HOUSE QUAY","Custom House Quay",53.347884,-6.248048,0,0
27,dublin,"MOLESWORTH STREET","Molesworth Street",53.341288,-6.258117,0,0
16,dublin,"GEORGES QUAY","Georges Quay",53.347508,-6.252192,0,0
96,dublin,"KILMAINHAM LANE","Kilmainham Lane",53.341805,-6.305085,0,0
82,dublin,"MOUNT BROWN","Mount Brown",53.341645,-6.29719,0,0
76,dublin,"MARKET STREET SOUTH","Market Street South",53.342296,-6.287661,0,0
71,dublin,"KEVIN STREET","Kevin Street",53.337757,-6.267699,0,0
79,dublin,"ECCLES STREET EAST","Eccles Street East",53.358115,-6.265601,0,0
69,dublin,"GRAND CANAL DOCK","Grand Canal Dock",53.342638,-6.238695,0,0
25,dublin,"MERRION SQUARE EAST","Merrion Square East",53.339434,-6.246548,0,0
51,dublin,"YORK STREET WEST","York Street West",53.339334,-6.264699,0,0
37,dublin,"ST. STEPHEN'S GREEN SOUTH","St. Stephen's Green South",53.337494,-6.26199,1,0
59,dublin,"DENMARK STREET GREAT","Denmark Street Great",53.35561,-6.261397,0,0
95,dublin,"ROYAL HOSPITAL","Royal Hospital",53.343897,-6.29706,0,0
94,dublin,"HEUSTON STATION (CAR PARK)","Heuston Station (Car Park)",53.346985,-6.297804,0,0
105,dublin,"GRANGEGORMAN LOWER (NORTH)","Grangegorman Lower (North)",53.355954,-6.278378,0,0
36,dublin,"ST. STEPHEN'S GREEN EAST","St. Stephen's Green East",53.337824,-6.256035,0,0
93,dublin,"HEUSTON STATION (CENTRAL)","Heuston Station (Central)",53.346603,-6.296924,0,0
22,dublin,"TOWNSEND STREET","Townsend Street",53.345922,-6.254614,0,0
50,dublin,"GEORGES LANE","George's Lane",53.35023,-6.279696,0,0
110,dublin,"PHIBSBOROUGH ROAD","Phibsborough Road",53.356307,-6.273717,0,0
12,dublin,"ECCLES STREET","Eccles Street",53.359246,-6.269779,0,0
34,dublin,"PORTOBELLO HARBOUR","Portobello Harbour",53.330362,-6.265163,0,0
78,dublin,"MATER HOSPITAL","Mater Hospital",53.359967,-6.264828,0,0
2,dublin,"BLESSINGTON STREET","Blessington Street",53.356769,-6.26814,0,0
75,dublin,"JAMES STREET","James Street",53.343456,-6.287409,0,0
507,dublin,"ORIEL STREET TEST TERMINAL","JCDecaux Ireland, 52 Oriel Street Lower, Dublin 1",53.35463,-6.242615,0,0
111,dublin,"MOUNTJOY SQUARE EAST","Mountjoy Square East",53.356717,-6.256359,0,0
26,dublin,"MERRION SQUARE WEST","Merrion Square West",53.339764,-6.251988,1,0
65,dublin,"CONVENTION CENTRE","Convention Centre",53.34744,-6.238523,1,0
15,dublin,"HARDWICKE STREET","Hardwicke Street",53.355473,-6.264423,0,0
86,dublin,"PARKGATE STREET","Parkgate Street",53.347972,-6.291804,0,0
35,dublin,SMITHFIELD,Smithfield,53.347692,-6.278214,0,0
10,dublin,"DAME STREET","Dame Street",53.344007,-6.266802,1,0
100,dublin,"HEUSTON BRIDGE (SOUTH)","Heuston Bridge (South)",53.347106,-6.292041,0,0
24,dublin,"CATHAL BRUGHA STREET","Cathal Brugha Street",53.352149,-6.260533,0,0
64,dublin,"SANDWITH STREET","Sandwith Street",53.345203,-6.247163,0,0
109,dublin,"BUCKINGHAM STREET LOWER","Buckingham Street Lower",53.353331,-6.249319,0,0
85,dublin,"ROTHE ABBEY","Rothe Abbey",53.338776,-6.30395,0,0
107,dublin,"CHARLEVILLE ROAD","Charleville Road",53.359157,-6.281866,0,0
33,dublin,"PRINCES STREET / O'CONNELL STREET","Princes Street / O'Connell Street",53.349013,-6.260311,1,0
44,dublin,"UPPER SHERRARD STREET","Upper Sherrard Street",53.358437,-6.260641,0,0
89,dublin,"FITZWILLIAM SQUARE EAST","Fitzwilliam Square East",53.335211,-6.2509,0,0
57,dublin,"GRATTAN STREET","Grattan Street",53.339629,-6.243778,0,0
80,dublin,"ST JAMES HOSPITAL (LUAS)","St James Hospital (Luas)",53.341359,-6.292951,0,0
41,dublin,"HARCOURT TERRACE","Harcourt Terrace",53.332763,-6.257942,0,0
3,dublin,"BOLTON STREET","Bolton Street",53.351182,-6.269859,0,0
40,dublin,"JERVIS STREET","Jervis Street",53.3483,-6.266651,0,0
29,dublin,"ORMOND QUAY UPPER","Ormond Quay Upper",53.346057,-6.268001,0,0
103,dublin,"GRANGEGORMAN LOWER (SOUTH)","Grangegorman Lower (South)",53.354663,-6.278681,0,0
28,dublin,"MOUNTJOY SQUARE WEST","Mountjoy Square West",53.356299,-6.258586,0,0
39,dublin,"WILTON TERRACE","Wilton Terrace",53.332383,-6.252717,0,0
83,dublin,"EMMET ROAD","Emmet Road",53.340714,-6.308191,0,0
92,dublin,"HEUSTON BRIDGE (NORTH)","Heuston Bridge (North)",53.347802,-6.292432,0,0
21,dublin,"LEINSTER STREET SOUTH","Leinster Street South",53.34218,-6.254485,0,0
88,dublin,"BLACKHALL PLACE","Blackhall Place",53.3488,-6.281637,0,0
